,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
12,Equal Parts School and Self-Taught,Student,$60k - $80k,"D3,Excel,Illustrator,Mapbox,kepler.gl,Python,Vega,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,math and physics,Man,USA,12.0,1.0,15.0,5.0,4.0,2.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,InteractiveNotebook,Documents,Presentations",yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes
13,Mostly Self-Taught,Academic,$140k - $160k,"Excel,ggplot2,Gephi,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,SwarmChart,Force-DirectedGraph",Academic,Business,Man,Australia,1.0,0.5,2.0,0.5,0.5,0.0,"Dashboard,Scrollytelling,Presentations",yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes
15,Mostly Self-Taught,Engineer,< $20k,"ggplot2,R","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap",Private sector,Programming,Man,Vietnam,1.0,1.0,2.0,3.0,4.0,2.0,Presentations,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
16,Equal Parts School and Self-Taught,Engineer,$120k - $140k,"Excel,ggplot2,PowerBI,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,3DCharts",Private sector,Business Administration,Man,USA,4.0,8.0,4.0,0.0,12.0,1.0,"Dashboard,InteractiveNotebook,Presentations,Email",yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no
17,Mostly From School (or other formal courses),Designer,$60k - $80k,"ArcGIS,D3,Excel,Gephi,Illustrator,R,Tableau","BarChart,Scatterplot,Infographics",Academic,Biology,Man,USA,4.0,2.0,2.0,8.0,1.0,1.0,"StaticWebPage,Newspaperorotherphysicalhandout",yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
19,Mostly Self-Taught,Designer,$60k - $80k,"Excel,Illustrator","LineChart,BarChart,PieChart,Infographics,PictorialVisualization",Private sector,English,Man,USA,10.0,0.0,0.0,10.0,3.0,0.0,"StaticWebPage,Documents,Presentations",yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
21,Equal Parts School and Self-Taught,Scientist,$20k - $40k,"Cytoscape,Excel,ggplot2,R,Pen&Paper","LineChart,Scatterplot,Dendrogram,NetworkDiagram",Academic,Biology,Man,USA,2.0,5.0,5.0,1.0,10.0,10.0,"StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no
22,Mostly Self-Taught,Analyst,$40k - $60k,"D3,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap",Private sector,AI and visualization,Man,Spain,10.0,0.0,20.0,5.0,5.0,1.0,"Dashboard,Scrollytelling,StaticWebPage",no,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes
26,Mostly Self-Taught,Academic,$20k - $40k,"Excel,ggplot2,Gephi,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Academic,Interdisciplinary Social Studies,Man,USA,5.0,5.0,10.0,1.0,20.0,5.0,"Documents,Presentations",yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no
27,Mostly From School (or other formal courses),Other,$80k - $100k,"ArcGIS,Excel,Illustrator,Mapbox,kepler.gl,Plotly,Python,QGIS,Tableau,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,ChoroplethMap",Not-for-profit,Economics ,Man,USA,10.0,0.0,3.0,5.0,1.0,0.0,"Dashboard,Scrollytelling,StaticWebPage,InteractiveNotebook,Documents,Presentations,Newspaperorotherphysicalhandout",yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes
28,Mostly Self-Taught,Analyst,$40k - $60k,"R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Mathematics - Statistics,Man,USA,2.0,1.0,15.0,0.0,15.0,20.0,Dashboard,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no
31,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,Python,Tableau,Matplotlib","LineChart,BarChart,PieChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Chemistry,Man,United Kingdom,2.0,16.0,2.0,0.0,12.0,0.0,"Dashboard,Documents,Presentations,Email,Newspaperorotherphysicalhandout",yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
32,Mostly Self-Taught,Analyst,$40k - $60k,ggplot2,"LineChart,BarChart,Scatterplot,Hexbin/Heatmap,RasterMap,Spotlight,2-DimensionalPointDensity,Marginal",Private sector,Geology,Man,USA,10.0,3.0,15.0,1.0,5.0,1.0,"StaticWebPage,Documents,Presentations",no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
33,Equal Parts School and Self-Taught,Analyst,$20k - $40k,"Pen&Paper,Otherphysicalmaterials,MSOffice","LineChart,BarChart,Scatterplot,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Psychology,Man,Chile,5.0,0.0,1.0,5.0,3.0,2.0,"Documents,Presentations",no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no
41,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,ggplot2,Mapbox,QGIS,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics",Private sector,Finance,Man,USA,8.0,13.0,10.0,1.0,8.0,0.0,"Dashboard,Presentations,Email",yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
42,Mostly Self-Taught,Analyst,$60k - $80k,"PowerBI,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Bank and Finance,Man,United Kingdom,12.0,5.0,0.0,8.0,3.0,1.0,"Dashboard,Scrollytelling,Presentations,Email",no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes
45,Equal Parts School and Self-Taught,Leadership,$120k - $140k,"D3,Excel,Illustrator,Mapbox,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,ChoroplethMap",Not-for-profit,Film,Man,USA,8.0,0.0,4.0,18.0,4.0,0.0,"Embeddedinatool,StaticWebPage,Documents,Presentations",yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no
47,Equal Parts School and Self-Taught,Developer,< $20k,"Excel,ggplot2,Python,R,Tableau,Matplotlib","LineChart,BarChart,Scatterplot",Private sector,liberal arts ,Man,Argentina,10.0,10.0,20.0,5.0,10.0,10.0,"Embeddedinatool,Dashboard,Scrollytelling",yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes
49,Mostly Self-Taught,Leadership,$100k - $120k,Tableau,"LineChart,BarChart,Scatterplot,Infographics,Treemap,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Computer Science,Man,USA,7.0,20.0,0.0,2.0,5.0,0.0,"Embeddedinatool,Dashboard",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,no,no,no
51,Mostly Self-Taught,Academic,$100k - $120k,"D3,ggplot2,Illustrator,R,Pen&Paper","LineChart,Scatterplot,Hexbin/Heatmap,SwarmChart,Densityplot",Academic,Computer Science,Man,USA,3.0,1.0,3.0,2.0,2.0,0.0,"InteractiveNotebook,Documents,Presentations,Email,Slack",no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no
52,Mostly Self-Taught,Academic,$40k - $60k,"D3,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart,Force-DirectedGraph",Academic,Mathematics,Man,USA,2.0,3.0,10.0,2.0,3.0,3.0,"Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no
53,Mostly Self-Taught,Academic,$100k - $120k,"D3,Plotly,Python,Vega,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,RasterMap",Academic,Computer science,Man,USA,1.0,1.0,10.0,0.0,1.0,0.0,"Embeddedinatool,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no
54,Mostly Self-Taught,Academic,$80k - $100k,"ggplot2,Illustrator,Python,R,Matlab","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,RasterMap,3DCharts,SwarmChart",Academic,Psychology,Man,USA,2.0,5.0,5.0,1.0,10.0,0.0,"Documents,Presentations,Email",no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no
58,Mostly Self-Taught,Leadership,$40k - $60k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Treemap",Private sector,Computing and Classical Civs,Man,United Kingdom,14.0,2.0,0.0,2.0,7.0,0.0,"Dashboard,Scrollytelling",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes
59,Mostly From School (or other formal courses),Leadership,$100k - $120k,"Excel,PowerBI,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics and Communications,Man,USA,12.0,8.0,12.0,12.0,8.0,4.0,"Dashboard,Documents,Presentations,Email",yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no
60,Mostly Self-Taught,Leadership,$200k+,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot",Public sector,Statistics / business,Man,USA,2.0,3.0,2.0,0.0,4.0,0.0,"Documents,Presentations,Email",yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no
61,Mostly Self-Taught,Analyst,$60k - $80k,"Python,Tableau","BarChart,Scatterplot,Hexbin/Heatmap,Infographics",Not-for-profit,Sports Medicine,Man,USA,2.0,4.0,4.0,2.0,4.0,1.0,"Documents,Presentations,Email",no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no
62,Mostly Self-Taught,Academic,$60k - $80k,"Excel,ggplot2,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),SwarmChart",Academic,Psychology,Man,USA,5.0,5.0,5.0,2.0,10.0,3.0,"Dashboard,Scrollytelling,InteractiveNotebook",yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes
64,Mostly Self-Taught,Academic,$100k - $120k,"Excel,ggplot2,R,WebGL","LineChart,BarChart,PieChart,Scatterplot",Academic,Psychology,Man,USA,5.0,0.0,5.0,5.0,2.0,0.0,"StaticWebPage,Presentations",yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
65,Mostly Self-Taught,Academic,$120k - $140k,"Excel,ggplot2,Gephi,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram",Academic,Business Marketing ,Man,Australia,2.0,1.0,2.0,0.5,1.0,0.0,"Dashboard,Presentations",yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no
66,Mostly Self-Taught,Academic,$80k - $100k,"Excel,Gephi,Pen&Paper","BarChart,Force-DirectedGraph",Academic,economics and management,Man,France,3.0,3.0,3.0,3.0,20.0,0.0,"Embeddedinatool,Presentations",yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
67,Mostly Self-Taught,Academic,$100k - $120k,"Excel,ggplot2,R,Pen&Paper,Matlab,ShowMyData.org","Scatterplot,Dotplot,Histogram,Violinplot",Academic,Psychology (then PhD in vision science),Man,USA,5.0,0.0,5.0,2.0,5.0,0.0,"Embeddedinatool,Documents,Presentations",yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no
69,Mostly Self-Taught,Leadership,$120k - $140k,"D3,GoogleSheets","LineChart,BarChart,PieChart,Scatterplot",Private sector,Advertising,Man,USA,2.0,0.0,0.0,5.0,0.0,0.0,"Dashboard,Presentations",no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
70,Mostly Self-Taught,Analyst,$120k - $140k,Excel,"LineChart,BarChart,PieChart,ChoroplethMap",Public sector,Physics,Man,Luxembourg,20.0,0.0,1.0,5.0,10.0,0.0,Documents,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
76,Equal Parts School and Self-Taught,Developer,$60k - $80k,"ggplot2,Gephi,PowerBI,Python,R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Infographics",Academic,French language & literature,Man,USA,10.0,5.0,5.0,5.0,15.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations",no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
77,Mostly Self-Taught,Leadership,$100k - $120k,"ArcGIS,Excel,Python,R,Tableau","LineChart,BarChart,PieChart,Infographics,RasterMap",Private sector,Linguistics,Man,Germany,10.0,10.0,5.0,1.0,5.0,4.0,"Embeddedinatool,Dashboard,Presentations",yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
78,Mostly Self-Taught,Analyst,$180k - $200k,"Microstrategy,Tableau","LineChart,BarChart,PieChart,Scatterplot,PictorialVisualization,Treemap",Private sector,Computer Science,Man,Australia,12.0,12.0,0.0,8.0,8.0,4.0,"Dashboard,Documents,Email",no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no
79,Mostly Self-Taught,Student,< $20k,"ggplot2,Plotly,Python,R","LineChart,BarChart,PieChart,Hexbin/Heatmap,Dendrogram,NetworkDiagram",Academic,Biology,Man,Italy,5.0,10.0,10.0,3.0,7.0,5.0,Documents,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
80,Mostly Self-Taught,Engineer,$120k - $140k,"Cytoscape,D3,ggplot2,Java,Plotly,Processing,Python,R,React,WebGL,Canvas,P5/Processing,Cytoscape.js","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph,CirclePackingDiagram",Academic,Computer Science,Man,USA,15.0,10.0,5.0,5.0,5.0,1.0,"Embeddedinatool,Dashboard,Scrollytelling,StaticWebPage,InteractiveNotebook,Documents,Presentations,Academicpapers",no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes
81,Mostly Self-Taught,Analyst,$20k - $40k,"ggplot2,Leaflet,Plotly,QGIS,R","LineChart,BarChart,Infographics,ChoroplethMap",Public sector,biologist in public health,Man,Peru,10.0,10.0,5.0,5.0,10.0,5.0,"Scrollytelling,StaticWebPage,InteractiveNotebook,Documents",no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes
82,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Excel,Qlik,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Not-for-profit,Business Administration,Man,USA,5.0,0.0,0.0,0.0,5.0,1.0,Dashboard,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
83,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"D3,Excel,Illustrator,PowerBI,Pen&Paper,Visio","LineChart,BarChart,PieChart,Scatterplot,Infographics,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,English lit and theater,Man,USA,10.0,10.0,5.0,0.0,5.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no
86,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot,Dendrogram",Not-for-profit,Neuroscience,Man,United Kingdom,2.0,2.0,0.0,0.0,2.0,0.0,Presentations,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
87,Mostly Self-Taught,Analyst,$180k - $200k,Tableau,"LineChart,BarChart,Treemap",Not-for-profit,International Business,Man,USA,8.0,4.0,0.0,2.0,2.0,1.0,"Embeddedinatool,Dashboard,StaticWebPage,Email",no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no
88,Mostly Self-Taught,Leadership,$20k - $40k,Qlik,"LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),Venndiagrams,Distributionplot,Scatterplot",Private sector,Computer Science,Man,Mexico,4.0,4.0,0.0,0.0,2.0,2.0,"Embeddedinatool,Dashboard,Scrollytelling,Documents,Presentations,Email,Socialmedia",no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
90,Mostly Self-Taught,Analyst,$20k - $40k,"Excel,ggplot2,PowerBI,Python,Qlik,R","LineChart,BarChart,PieChart,Scatterplot,Infographics,PictorialVisualization,Treemap,NetworkDiagram",Private sector,Matemática,Man,Brazil,10.0,10.0,10.0,10.0,4.0,0.0,"Embeddedinatool,Dashboard,Scrollytelling,Documents,Presentations,Email",yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,yes
92,Mostly Self-Taught,Analyst,$40k - $60k,"R,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,ChoroplethMap,SwarmChart",Private sector,Economics,Man,USA,20.0,4.0,1.0,10.0,4.0,0.0,"Embeddedinatool,Dashboard",no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no
